date_found,filing_accession,ticker,company,signal_type,n_insiders,total_usd,score
2026-07-29,0001193125-26-321223,NONE,5C Lending Partners Corp.,🥇 GOLDEN,2,44632146.3,65.89788663188796
2026-07-29,0001193125-26-321639,NONE,5C Lending Partners Corp.,🥇 GOLDEN,2,44632146.3,65.89788663188796
2026-07-29,0001193125-26-321639,NONE,5C Lending Partners Corp.,🥇 GOLDEN,2,44632146.3,65.89788663188796
2026-08-08,0001193125-26-333412,BRTMU,B&amp;R Technology Merger Corp.,💰 CONVICTION,1,6875000.0,51.0236362150138
2026-08-08,0001213900-26-085827,XIIIU,Churchill Capital Corp XIII,💰 CONVICTION,1,3500000.0,49.264408266101654
2026-08-08,0001088011-26-000006,CVNA,CARVANA CO.,💰 CONVICTION,1,1544981.37,47.13353948138074
2026-08-08,0001088011-26-000006,CVNA,CARVANA CO.,💰 CONVICTION,1,1544981.37,47.13353948138074
2026-08-13,0001213900-26-088542,PNAQ,Pinnacle Acquisition Corp,🥇 GOLDEN,3,27100000.0,74.59781574524644
2026-08-13,0001213900-26-088542,PNAQ,Pinnacle Acquisition Corp,🥇 GOLDEN,3,27100000.0,74.59781574524644
2026-08-13,0001213900-26-088545,PNAQ,Pinnacle Acquisition Corp,🥇 GOLDEN,3,27100000.0,74.59781574524644
2026-08-13,0001213900-26-088545,PNAQ,Pinnacle Acquisition Corp,🥇 GOLDEN,3,27100000.0,74.59781574524644
2026-08-13,0001213900-26-088546,PNAQ,Pinnacle Acquisition Corp,🥇 GOLDEN,3,27100000.0,74.59781574524644
2026-08-13,0001696102-26-000008,ACDC,ProFrac Holding Corp.,🥇 GOLDEN,2,4018492.4561,59.624378944192046
2026-08-13,0001696102-26-000008,ACDC,ProFrac Holding Corp.,🥇 GOLDEN,2,4018492.4561,59.624378944192046
2026-08-13,0001104659-26-095159,ACDC,ProFrac Holding Corp.,🥇 GOLDEN,2,4018492.4561,59.624378944192046
2026-08-13,0001104659-26-095159,ACDC,ProFrac Holding Corp.,🥇 GOLDEN,2,4018492.4561,59.624378944192046
2026-08-13,0002069180-26-000002,AMRZ,Amrize Ltd,🥇 GOLDEN,2,415102.44,53.7089317171888
2026-08-13,0002069180-26-000002,AMRZ,Amrize Ltd,🥇 GOLDEN,2,415102.44,53.7089317171888
2026-08-13,0001632531-26-000002,AMRZ,Amrize Ltd,🥇 GOLDEN,2,415102.44,53.7089317171888
2026-08-13,0001182684-26-000017,TXO,"TXO Partners, L.P.",💰 CONVICTION,1,3487630.0,49.2551824284089
2026-08-13,0001182684-26-000017,TXO,"TXO Partners, L.P.",💰 CONVICTION,1,3487630.0,49.2551824284089
2026-08-13,0001182684-26-000017,TXO,"TXO Partners, L.P.",💰 CONVICTION,1,3487630.0,49.2551824284089
2026-08-14,0001182684-26-000020,TXO,"TXO Partners, L.P.",💰 CONVICTION,1,5638175.0,50.50683130933571
2026-08-14,0001182684-26-000020,TXO,"TXO Partners, L.P.",💰 CONVICTION,1,5638175.0,50.50683130933571
2026-08-14,0001628280-26-056686,N/A,"Crestline Lending Solutions, LLC",💰 CONVICTION,1,500114.64853999997,44.19441745226405
2026-08-17,0002069377-26-000002,AMRZ,Amrize Ltd,🥇 GOLDEN,3,485782.44,64.11865087159686
2026-08-17,0000899140-26-000894,OTLK,"Outlook Therapeutics, Inc.",💰 CONVICTION,1,2499999.48,48.387639510032656
